String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
ftueEnablePredictiveNav,ENABLE PREDICTIVE NAVIGATION,ENABLE PREDICTIVE NAVIGATION,ACTIVER LA NAVIGATION PRÉDICTIVE,ACTIVAR NAVEGACIÓN PREDICTIVA,스마트 내비게이션 사용,تمكين التجوال التنبؤي,ATIVAR NAVEGAÇÃO PREDITIVA,AKTIVERA PREDIKTIV NAVIGATION,OTA ENNAKOIVA NAVIGOINTI KÄYTTÖÖN,АКТИВИРАНЕ НА ИНТЕЛИГЕНТНА НАВИГАЦИЯ,,WŁĄCZ NAWIGACJĘ PRZEWIDUJĄCĄ,启用预测导航,ΕΝΕΡΓΟΠΟΙΗΣΗ ΠΛΟΗΓΗΣΗΣ ΜΕ ΠΡΟΒΛΕΨΗ,VORAUSSCHAUENDE NAVIGATION AKTIVIEREN,เปิดใช้ Predictive Navigation,ВКЛЮЧИТЕ ПРОГНОЗИРОВАНИЕ МАРШРУТА,OMOGUĆAVANJE PREDIKTIVNE NAVIGACIJE,AKTIVER FORUTSIGENDE NAVIGERING,OMOGUĆI PREDIKTIVNU NAVIGACIJU,,OMOGOČI NAVIGACIJO S PREDVIDEVANJEM,,PREDIKTÍV NAVIGÁCIÓ BEKAPCSOLÁSA,Aktivér Adaptiv Navigation,УВІМКНЕННЯ ПРЕДИКТИВНОЇ НАВІГАЦІЇ,ABILITA NAVIGAZIONE PREDITTIVA,TAHMİNLİ NAVİGASYON DEVREDE,ACTIVARE NAVIGAȚIE PREDICTIVĂ,,,ZAPNUTÍ PŘEDVÍDAVÉ NAVIGACE,VOORSPELLENDE NAVIGATIE ACTIVEREN,POVOĽTE PREDIKTÍVNU NAVIGÁCIU,,
ftueIntroducing,MAKE YOUR CAR SMARTER,MAKE YOUR CAR SMARTER,RENDEZ VOTRE VOITURE PLUS INTELLIGENTE,,스마트한 차량 만들기,الطريقة الأذكى لقيادة سيارتك,TORNAR O SEU CARRO MAIS INTELIGENTE,GÖR BILEN SMARTARE,TEE AUTOSTASI ÄLYKKÄÄMPI,НАПРАВЕТЕ АВТОМОБИЛА СИ ПО-УМЕН,MEJORE LA INTELIGENCIA DE SU COCHE.,ZWIĘKSZ KOMFORT PROWADZENIA AUTA,让您的车辆更智能,ΚΑΝΤΕ ΤΟ ΑΥΤΟΚΙΝΗΤΟ ΣΑΣ ΕΞΥΠΝΟΤΕΡΟ,IHR FAHRZEUG WIRD INTELLIGENTER,ทำให้รถของคุณฉลาดขึ้น,УПРАВЛЯЙТЕ С УМОМ,UČINITE SVOJE VOZILO PAMETNIJIM,GJØR BILEN DIN SMARTERE,UČINITE SVOJ AUTOMOBIL INTELIGENTNIJIM,,NAJ VAŠ AVTO POSTANE PAMETNEJŠI,HAGA A SU VEHÍCULO MÁS INTELIGENTE,TEGYE INTELLIGENSEBBÉ AUTÓJÁT,GØR DIN BIL SMARTERE,ПЕРСОНАЛІЗУЙТЕ СВІЙ АВТОМОБІЛЬ,PER UN AUTO PIÙ INTELLIGENTE,OTOMOBİLİNİZİ DAHA AKILLI KILIN,MAȘINA DVS. VA FI MAI INTELIGENTĂ,,,ABY BYLO VAŠE AUTO CHYTŘEJŠÍ,MAAK UW AUTO SLIMMER,ZDOKONAĽTE SVOJE VOZIDLO,HAGA A SU VEHÍCULO MÁS INTELIGENTE,
ftueLimitedHint,%1$s Connected Navigation is included with your vehicle for a limited time,%1$s Connected Navigation is included with your vehicle for a limited time,,,NavConnect는 정해진 기간 동안 차량에 기본 제공됩니다,لقد تم توفير خدمة %1$s Connected Navigation مع سيارتك لمدّة محدودة,O serviço %1$s Connected Navigation está incluído no seu veículo por um período de tempo limitado.,%1$s Connected Navigation medföljer fordonet under en begränsad tid,%1$s Connected Navigation on käytössä autossasi rajoitetun ajan,%1$s Connected Navigation се предлага заедно с автомобила Ви за ограничено време.,%1$s Connected Navigation está incluido con su vehículo durante un plazo limitado.,Usługa %1$s Connected Navigation jest dostępna w pojeździe tylko przez pewien czas,您的车辆包含限期使用的%1$s Connected Navigation,Η υπηρεσία %1$s Connected Navigation διατίθεται με το όχημά σας για περιορισμένο χρονικό διάστημα,%1$s Connected Navigation ist in Ihrem Fahrzeug für einen begrenzten Zeitraum verfügbar.,%1$s Connected Navigation จะมีอยู่ในรถของคุณเป็นช่วงเวลาจำกัดช่วงหนึ่ง,В комплект поставки автомобиля включена подписка на услугу %1$s Connected Navigation на ограниченное время,Usluga %1$s Connected Navigation dostupna je za vaše vozilo ograničeno vrijeme,%1$s Connected Navigation er inkludert i bilen i en begrenset periode,Usluga %1$s Connected Navigation se isporučuje sa vašim vozilom tokom ograničenog vremena,%1$s Connected Navigation est compris avec votre véhicule pour un temps limité.,%1$s Connected Navigation je za omejen čas na voljo skupaj z vašim vozilom,%1$s Connected Navigation se incluye con su vehículo por un tiempo limitado,Az %1$s Connected Navigation az új járművében korlátozott ideig rendelkezésére áll.,%1$s Connected Navigation er inkluderet i bilen i et begrænset tidsrum,Службу %1$s Connected Navigation надано в комплекті з автомобілем для користування протягом обмеженого часу,%1$s Connected Navigation è incluso nel tuo veicolo per un periodo limitato,"%1$s Connected Navigation, sınırlı bir süre için aracınızla birlikte sağlanmaktadır.",%1$s Connected Navigation este inclus în vehiculul dumneavoastră pentru o perioadă limitată,,,%1$s Connected Navigation je po omezenou dobu součástí vašeho vozidla.,%1$s Connected Navigation zit voor een beperkte periode gratis op uw voertuig,Služba %1$s Connected Navigation má obmedzenú dobu platnosti vo vašom vozidle.,%1$s Connected Navigation se incluye con su vehículo por un tiempo limitado,Le service %1$s Connected Navigation est inclus avec votre véhicule pour une durée limitée.
ftueMapUpdate,STAY UP TO DATE,STAY UP TO DATE,,,최신 상태 유지,كن على اطلاع دائم,PERMANECER ATUALIZADO,HÅLL DIG UPPDATERAD,PYSY AJAN TASALLA,БЪДЕТЕ АКТУАЛНИ,MANTÉNGASE AL DÍA,BĄDŹ NA BIEŻĄCO,保持最新,ΜΕΙΝΕΤΕ ΕΝΗΜΕΡΩΜΕΝΟΙ,BLEIBEN SIE AUF DEM NEUESTEN STAND,ทันสมัยอยู่เสมอ,ПОЛУЧАЙТЕ АКТУАЛЬНУЮ ИНФОРМАЦИЮ,BUDITE U TIJEKU,HOLD DEG OPPDATERT,OSTANITE U TOKU,RESTEZ TOUJOURS INFORMÉ,OSTANITE NA TEKOČEM,PERMANEZCA ACTUALIZADO,MARADJON NAPRAKÉSZ,HOLD DIG OPDATERET,СЛІДКУЙТЕ ЗА ОНОВЛЕННЯМИ,RESTA AGGIORNATO,GÜNCEL KALIN,ACTUALIZĂRI,,,STÁLE AKTUÁLNÍ,BLIJF UP-TO-DATE,ZOSTAŇTE V OBRAZE,PERMANEZCA ACTUALIZADO,RESTEZ À JOUR
ftueNavConnect,Connected Navigation,Connected Navigation,Navigation connectée,,커넥티드 내비게이션,التجوال المستند إلى خدمة,Navegação Conectada,Ansluten Navigering,yhdistetty navigointi,Свързана навигация от,Navegación conectada de,Połączona Nawigacja,联网导航,Συνδεδεμένη πλοήγηση,Verbundene Navigation,ระบบนำทางแบบเชื่อมต่อ,Навигация с подключением к,povezana navigacija,tilkoblet navigering,povezana navigacija,,Povezana navigacija,Navegación Conectada,csatlakoztatott navigáció,-tilsluttet navigation,Підключена навігаційна система,Navigazione collegata a,Bağlantılı Navigasyon,Navigație conectată,Connected Navigation,NavConnect,Online navigace,online navigatie,Pripojená navigácia,NavConnect,
ftueNavConnectIntro,Helps you find and reach your destinations on time with real-time information.,Helps you find and reach your destinations on time with real-time information.,,,실시간 교통 정보를 활용하여 빠르게 목적지에 도착할 수 있도록 도와 줍니다.,يساعدك في العثور على وجهاتك والوصول إليها في الوقت المحدّد ووفق معلومات متوفرة في الوقت الفعلي.,Ajuda a encontrar e alcançar os seus destinos no horário previsto com informações em tempo real.,Hjälper dig att hitta och nå dina destinationer i tid med realtidsinformation.,Auttaa sinua löytämään ja saavuttamaan määränpääsi ajoissa hyödyntämällä reaaliaikaisia tietoja.,Помага ви да намерите и достигнете целта си навреме с информация в реално време.,Le ayuda a buscar sus destinos y a llegar a ellos a tiempo con información en tiempo real.,"Pomaga znajdować cele i docierać do nich, prezentując informacje aktualizowane w czasie rzeczywistym.",通过实时信息帮助您准时找到并到达目的地。,"Σας βοηθά να βρίσκετε και να φτάνετε στον προορισμό σας έγκαιρα, με πληροφόρηση σε πραγματικό χρόνο.",Mit Live-Info zum Verkehr Ihre Ziele einfach finden und pünktlich erreichen.,ช่วยคุณค้นหาและไปถึงจุดหมายปลายทางของคุณได้ทันเวลาด้วยข้อมูลในเวลาจริง,Помогает быстро находить точки назначения и прибывать в них вовремя благодаря получению информации в реальном времени.,Pomaže vam da pronađete i dođete do odredišta na vrijeme uz pomoć informacija u stvarnom vremenu.,Hjelper deg å finne og nå dine destinasjoner i tide med informasjon i sanntid.,Pomaže vam da pronađete odredišta i da na vreme stignete do njih tako što vam daje informacije u realnom vremenu.,Vous aide à trouver votre destination et à l\'atteindre à temps à l\'aide d\'information en temps réel.,"S sprotnimi informacijami vam pomaga pri iskanju ciljev, da jih boste lahko dosegli pravočasno.",Le ayuda a encontrar y llegar a tiempo a sus destinos con información en tiempo real.,"Valós idejű információkkal segít, hogy időben megtalálja és elérje célállomásait.",Hjælper dig med at finde og nå dine destinationer til tiden med realtidsinformationer.,Допоможе знайти пункт призначення і вчасно прибути на місце завдяки інформуванню в реальному часі.,Aiuta a trovare e raggiungere in orario le destinazioni scelte con informazioni in tempo reale.,Varış noktalarınızı bulmanıza ve varış noktalarınıza gerçek zamanlı bilgilerle zamanında ulaşmanıza yardımcı olur.,"Vă ajută să găsiți și să ajungeți la destinație la timp, cu informații în timp real.",Helps you find and reach your destinations on time with real-time information.,,Pomáhá vám najít cíl a dojet do něj včas díky informacím v reálném čase.,U vindt uw bestemming en komt op tijd aan dankzij de real-time informatie.,Pomôže vám nájsť ciele a doraziť do nich včas s informáciami v reálnom čase.,,Vous aide à trouver et à atteindre vos destinations à temps grâce à des informations en temps réel.
ftueNavConnectValue1,Real-Time Traffic,Real-Time Traffic,,,실시간 교통 정보를 제공합니다,يوفر المعلومات المرورية في الوقت الفعلي,Tráfego em tempo real,Realtidstrafik,Reaaliaikaiset liikennetiedot,Трафик в реално време,Tráfico en tiempo real,Aktualne dane o ruchu drogowym,实时交通信息,Πληροφορίες κίνησης σε πραγματικό χρόνο,Live-Verkehrsinformationen,ข้อมูลการจราจรในเวลาจริง,Данные о загруженности дорог в реальном времени,Informacije o stanju u prometu u stvarnom vremenu,Trafikk i sanntid,Saobraćajne informacije u realnom vremenu,Circulation en temps réel,Sprotne prometne informacije,Tráfico en Tiempo Real,Valós idejű forgalmi információk,Trafik i realtid,Інформування про ДР у реальному часі,Traffico in tempo reale,Gerçek Zamanlı Trafik,Trafic în timp real,Real-Time Traffic,,Informace o dopravě v reálném čase,Real-time verkeersinformatie,Najaktuálnejšie dopravné správy,,Trafic en temps réel
ftueNavConnectValue2,Fresh Map Content,Fresh Map Content,,,최신 지도를 포함합니다,يعرض أحدث محتوى للخرائط,Conteúdo atualizado do mapa,Uppdaterat kartinnehåll,Tuore karttasisältö,Актуално съдържание на картата,Contenido de mapas actualizado,Aktualna mapa,最新的地图内容,Πρόσφατο περιεχόμενο χάρτη,Aktuelle Karteninhalte,ข้อมูลแผนที่ล่าสุด,Обновленные данные карт,Osvježavanje sadržaja karte,Oppdatert kartinnhold,Sveži sadržaji na mapi,Nouveau contenu de carte,Posodobljena vsebina zemljevida,Contenido Reciente del Mapa,Napra kész térképtartalom,Opdateret kortindhold,Актуальні картографічні дані,Contenuto mappa aggiornato,Yeni Harita İçeriği,Conținut nou al hărții,Fresh Map Content,,Aktuální mapový obsah,Bijgewerkte kaarten,Najnovší obsah máp,,Contenu de carte actualisé
ftueNavConnectValue3,Online Search,Online Search,Recherche en ligne,,온라인 검색이 가능합니다,يتيح البحث على الإنترنت,Pesquisa online,Onlinesökning,Online-haku,Онлайн търсене,Búsqueda en línea,Wyszukiwanie w Internecie,在线搜索,Online αναζήτηση,Online-Suche,การค้นหาแบบออนไลน์,Онлайн-поиск,Mrežno pretraživanje,Tilkoblet søk,Pretraga na mreži,,Spletno iskanje,Búsqueda En Línea,Online keresés,Onlinesøgning,Пошук в Інтернеті,Ricerca online,Çevrimiçi Arama,Căutare online,Online Search,,Online vyhledávání,Online zoeken,Online vyhľadávanie,,
ftueNavIntro,Makes your driving experience safer and more enjoyable.,Makes your driving experience safer and more enjoyable.,,,더 안전하고 즐겁게 운전할 수 있습니다.,يجعل تجربتك في القيادة أكثر أماناً ومتعةً.,Torna a sua experiência de condução mais segura e mais agradável.,Gör din körupplevelse säkrare och mer behaglig.,Tekee ajokokemuksestasi turvallisemman ja nautinnollisemman.,Прави шофирането по-безопасно и по-приятно.,Le permite disfrutar más y con mayor seguridad de su experiencia de conducción.,"Sprawia, że podróż samochodem jest bardziej bezpieczna i przyjemna.",让您的驾驶体验更为安全、更加愉悦。,Καθιστά την οδηγική σας εμπειρία ασφαλέστερη και πιο απολαυστική.,Für ein sichereres und angenehmeres Fahrerlebnis,ทำให้ประสบการณ์การขับขี่ของคุณปลอดภัยและสนุกสนานมากขึ้น,Делает вашу поездку более безопасной и приятной.,Čini vaše iskustvo vožnje sigurnijim i ugodnijim.,Gjør kjøreopplevelsen din tryggere og morsommere!,Pruža vam bezbedniju i prijatniju vožnju.,Rend votre expérience de conduite plus sécuritaire et agréable.,Vaša izkušnja ob vožnji bo varnejša in prijetnejša.,Hace que su experiencia de conducción sea más segura y agradable.,A vezetési élményt biztonságosabbá és élvezetesebbé teszi.,Gør din køreoplevelse sikrere og mere behagelig.,Підвищує безпеку та зручність керування автомобілем.,Rende la tua guida più sicura e più piacevole.,Sürüş deneyiminizi daha güvenli ve daha keyifli kılar.,Face ca experiența dumneavoastră de condus să fie mai sigură și mai plăcută.,Makes your driving experience safer and more enjoyable.,,Vaše jízda bude bezpečnější a zábavnější.,Maakt uw rijbeleving veiliger en aangenamer.,S touto aplikáciou sa budete pri jazde cítiť bezpečnejšie a viac si ju užijete.,,Rend votre expérience de conduite plus sûre et plus agréable.
